Species,Dispersal unit dry mass,Dispersal unit length,Dispersal unit thickness,Dispersal unit width,Germination efficiency,Germination requirement,Leaf area,Leaf carbon (C) content per area,Leaf carbon (C) content per dry mass,Leaf carbon/nitrogen (C/N) ratio,Leaf density,Leaf dry mass,Leaf dry mass per plant,"Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",Leaf dry matter content (LDMC),Leaf fresh mass,Leaf lamina thickness,Leaf lifespan,Leaf nitrogen (N) content,Leaf nitrogen (N) content per area,Leaf nitrogen (N) content per dry mass,Leaf nitrogen/phosphorus (N/P) ratio,Leaf phosphorus (P) content per area,Leaf phosphorus (P) content per dry mass,Leaf physical strength,Leaf porosity,Leaf potassium (K) content per area,Leaf potassium (K) content per dry mass,Leaf respiration per dry mass,Leaf specific area (SLA),Leaf texture (sclerophylly),Leaf thickness,Metamorphoses and morphological adaptations: seed or dispersal unit,Mycorrhizal type,Nitrogen fixation capacity,Phenology: reproductive,Phenology: vegetative,Photosynthesis leaf intercellular CO2 concentration,Photosynthesis net assimilytion rate (NAR),Photosynthesis per leaf area,Photosynthesis per leaf dry mass,Plant age of maturity (first flowering),Plant growth form,Plant height generative,Plant height vegetative,Plant lifespan,Plant relative growth rate (RGR),Plant tolerance to drought,Plant tolerance to frost,Plant tolerance to human impact,Plant tolerance to planting density,Plant tolerance to precipitation,Plant tolerance to shade,Plant tolerance to soil pH,Plant tolerance to waterlogging,Reproductive dry mass per plant,Root nitrogen (N) content per dry mass,Rooting depth,Seed length,Seed mass,Seed number per ramet,Seed number per reproducton unit,Seed protein content per mass,Seed thickness,Seed width,Species distribution: number of floristic zones,Stem dry mass per plant,Stem length (height),Stem nitrogen (N) content per dry mass,Stem specific density (SSD),Stomata conductance per leaf area,Wood dry mass per plant dry mass,Woodiness
Acalypha.rhomboidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acer.saccharum,NA,NA,NA,NA,NA,NA,50.94875,36.34444444,NA,27.85,0.404117647,51.57428571,NA,0.67,0.838333333,NA,190.745,5.5,13.32,1.118,5.409195402,13.14913043,0.1,1530.148696,NA,NA,0.42,0.755,6.478369565,125.9269811,0.23,126.605,NA,NA,NA,NA,NA,239.76,0,7.504444444,60.085625,NA,NA,NA,45.6,400,0.07,2.25,18.5,NA,500,50,4.76,5.5,1.09,NA,9.58695122,40,NA,806.275,NA,NA,NA,NA,NA,NA,NA,NA,0.39,433.56,33.5,NA,NA
Adiantum.pedatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,21,NA,3000,48,NA,5.6,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ageratina.altissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrimonia.gryposepala,NA,NA,NA,NA,NA,NA,17.34,NA,NA,NA,NA,42.125,NA,NA,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,38.5,NA,6850,35,NA,5.75,NA,NA,NA,6,NA,62510.975,NA,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrostis.perennans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,43.5,NA,NA,44,NA,6.5,NA,NA,NA,8,NA,2666666.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrostis.scabra,NA,1.366666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43,5.95,NA,NA,NA,NA,NA,NA,NA,25.48,118,NA,NA,NA,NA,NA,6.5,NA,125.2,NA,31.7,374.06,NA,NA,NA,2.5,NA,NA,NA,26,2,NA,37,NA,7,NA,NA,12.31,12,NA,1000000.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,513,NA,NA
Alisma.subcordatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,28.5,NA,3250,47.5,NA,6,NA,NA,NA,8,NA,825000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alliaria.petiolata,NA,NA,NA,NA,NA,NA,5640.99,NA,NA,11.48,NA,213.94,NA,NA,161.3333333,NA,0.15,NA,NA,NA,21.03,8.8,NA,2750.595,2.22,NA,NA,NA,NA,41.94666667,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,0.7,0.37,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3.28,2.4675,NA,47031.91667,NA,1.08,1.1,3,NA,NA,NA,0.38,NA,NA,NA
Ambrosia.artemisiifolia,NA,2.75,1.9,1.9,NA,NA,3781.883333,NA,NA,NA,NA,123.08,NA,NA,151.7066667,NA,NA,1.5,NA,28.34,9.9,NA,NA,NA,NA,NA,NA,NA,20.7825,53.8925,NA,NA,NA,NA,NA,9,NA,152.82,NA,20.92333333,308.74,NA,NA,1.38,1.21,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,15.06,NA,NA,3.99,NA,15420.32,NA,NA,NA,5,NA,NA,NA,NA,723.3333333,NA,NA
